driverId,week,hours-logged,miles-logged
22,40,61,1800
103,6,54,3300
46,19,51,2000
67,16,53,4000
73,28,62,3300
18,12,76,2900
105,28,68,700
65,4,62,3100
23,12,53,2900
89,36,69,3900
30,9,75,3200
103,31,58,3700
49,36,69,3800
107,43,69,800
101,11,74,1200
63,9,71,1500
14,6,70,3700
34,3,68,3000
75,3,68,100
19,27,61,3100
12,51,79,1900
25,10,69,1100
84,26,59,2500
71,44,71,2100
108,40,66,1200
19,18,51,700
32,32,62,1500
61,33,65,900
73,19,51,3900
93,9,54,3300
86,10,53,1100
95,5,66,1600
102,41,72,2400
78,12,54,1800
103,36,76,1000
65,21,68,1500
21,29,71,2800
60,4,58,900
91,27,56,500
63,21,56,1500
33,43,57,3800
23,48,51,1500
100,28,71,600
35,10,67,3200
73,36,55,2100
53,3,72,1800
32,26,80,900
70,23,60,1800
17,37,76,1000
39,45,68,2800
99,14,54,2400
11,6,76,1600
38,9,57,3300
58,36,78,1300
83,12,77,2700
85,41,63,3600
50,28,57,3500
35,49,77,1000
44,44,61,2300
20,30,54,500
18,38,59,3600
29,27,73,1500
76,11,60,2700
41,19,54,3400
24,39,66,1000
33,11,80,1700
77,25,76,800
33,44,63,3600
52,14,60,2700
49,48,63,1900
23,12,51,1600
33,13,65,1500
14,20,76,900
48,40,72,0
29,40,76,3400
68,1,57,1500
99,41,72,200
78,20,71,2900
63,4,64,1300
99,40,56,2400
95,5,77,3000
20,52,55,1700
108,18,80,200
51,3,69,700
58,14,59,1700
100,31,67,200
28,39,75,1200
47,15,55,3900
22,32,66,2000
65,23,62,500
57,28,79,0
41,45,51,1600
37,51,78,2400
99,44,69,3600
17,12,59,200
52,24,56,3200
11,16,60,1000
62,52,57,500
10,5,52,200
59,46,57,700
44,26,75,3000
68,52,55,600
17,10,70,300
100,9,75,1300
38,44,72,0
108,48,73,500
84,19,61,800
78,16,77,2800
32,34,71,3000
107,26,64,1200
22,29,57,3400
92,4,64,1000
85,50,61,3200
63,42,64,3400
33,22,52,2100
31,40,68,2700
36,10,77,4000
16,12,68,3200
92,29,65,300
58,48,67,1600
85,14,52,1500
92,38,67,1700
23,29,54,2700
10,14,52,3800
79,35,73,3900
53,13,60,3700
19,13,78,900
19,8,79,200
35,10,58,4000
32,31,63,200
96,32,63,200
80,27,60,3000
29,7,54,300
51,40,53,2500
31,31,64,3700
42,15,73,3900
83,37,71,1100
104,29,66,3600
56,5,65,1100
102,26,67,500
55,27,64,1300
107,16,71,1800
40,5,79,700
41,15,80,3200
50,36,76,1100
28,9,75,2100
80,33,75,800
18,36,59,3700
66,51,75,1200
45,13,57,300
16,48,76,100
16,6,52,3400
58,47,72,2100
10,42,70,700
108,9,71,2200
100,34,56,2800
68,1,52,3900
52,21,72,1600
15,34,62,1800
73,15,63,2400
24,3,74,2300
87,7,61,100
76,12,56,3000
12,33,78,500
55,18,80,3300
54,50,63,800
77,5,78,1200
79,46,67,2900
29,20,61,1700
96,25,58,2800
44,42,75,1200
27,33,72,600
85,47,76,1600
62,21,55,3200
88,46,70,2200
92,16,53,2500
26,22,76,1200
23,7,78,3000
41,42,76,1400
75,48,62,1600
94,23,72,2300
37,41,69,300
74,23,53,400
11,24,59,3900
84,22,73,2000
33,1,68,900
46,29,75,1600
88,42,69,1900
73,40,58,1800
101,3,51,1300
33,22,55,3000
21,39,78,600
94,27,76,1500
32,47,51,1400
86,9,71,1900
21,36,73,200
106,31,61,200
23,45,58,700
11,10,50,3500
41,21,64,400
19,47,59,2300
90,46,63,2700
98,31,68,1400
48,29,80,1700
79,4,65,3700
67,18,69,3700
18,37,68,2200
